[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -2,          2,    7,         -2.64,          3.31,       2.39,      23.90,     79.04,          0.98
       -2,          3,    1,         -8.20,          3.31,       1.39,      13.94,     46.11,          0.67
       -2,          3,    2,         -4.89,          3.31,       1.76,      17.59,     58.18,          0.94
       -2,          3,    3,         -3.47,          3.31,       2.00,      20.00,     66.16,          1.06
       -2,          3,    4,         -2.64,          3.31,       2.18,      21.79,     72.05,          1.13
       -2,          3,    5,         -2.18,          3.31,       2.32,      23.18,     76.66,          1.14
       -2,          3,    6,         -1.84,          3.31,       2.44,      24.35,     80.52,          1.15
       -2,          3,    7,         -1.62,          3.31,       2.54,      25.41,     84.02,          1.14
       -2,          4,    1,         -7.90,          3.31,       1.48,      14.79,     48.92,          0.64
       -2,          4,    2,         -4.25,          3.31,       1.88,      18.86,     62.37,          0.97
       -2,          4,    3,         -2.87,          3.31,       2.14,      21.40,     70.79,          1.09
       -2,          4,    4,         -2.10,          3.31,       2.32,      23.21,     76.76,          1.16
       -2,          4,    5,         -1.65,          3.31,       2.47,      24.67,     81.60,          1.18
       -2,          4,    6,         -1.33,          3.31,       2.59,      25.93,     85.74,          1.19
       -2,          4,    7,         -1.08,          3.31,       2.71,      27.09,     89.59,          1.18
       -1,          1,    1,         -9.11,          3.31,       1.29,      12.89,     42.63,          0.65
       -1,          1,    2,         -6.26,          3.31,       1.57,      15.71,     51.98,          0.84
       -1,          1,    3,         -4.67,          3.31,       1.76,      17.57,     58.12,          0.99
       -1,          1,    4,         -3.91,          3.31,       1.91,      19.10,     63.17,          1.03
       -1,          1,    5,         -3.32,          3.31,       2.05,      20.49,     67.77,          1.06
       -1,          1,    6,         -2.89,          3.31,       2.17,      21.72,     71.83,          1.07
       -1,          1,    7,         -2.53,          3.31,       2.29,      22.91,     75.78,          1.07
       -1,          2,    1,         -8.09,          3.31,       1.37,      13.73,     45.42,          0.72
       -1,          2,    2,         -4.83,          3.31,       1.72,      17.15,     56.72,          1.00
       -1,          2,    3,         -3.41,          3.31,       1.95,      19.52,     64.55,          1.12
       -1,          2,    4,         -2.75,          3.31,       2.13,      21.36,     70.64,          1.13
       -1,          2,    5,         -2.34,          3.31,       2.29,      22.88,     75.66,          1.12
       -1,          2,    6,         -1.57,          3.31,       2.42,      24.17,     79.95,          1.24
       -1,          2,    7,         -1.29,          3.31,       2.53,      25.32,     83.74,          1.24
       -1,          3,    1,         -7.27,          3.31,       1.47,      14.67,     48.53,          0.75
       -1,          3,    2,         -3.93,          3.31,       1.87,      18.66,     61.71,          1.06
       -1,          3,    3,         -2.50,          3.31,       2.13,      21.30,     70.44,          1.20
       -1,          3,    4,         -1.74,          3.31,       2.32,      23.23,     76.82,          1.26
       -1,          3,    5,         -1.56,          3.31,       2.47,      24.68,     81.64,          1.20
